"('show flight and prices kansas city to chicago on next wednesday arriving in chicago by 7 pm',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('what day of the week do flights from nashville to tacoma fly on',)","('atis_day_name',)","('atis_flight',)"
"('what days of the week do flights from san jose to nashville fly on',)","('atis_day_name',)","('atis_flight',)"
"('does the airport at burbank have a flight that comes in from kansas city',)","('atis_flight',)","('atis_airport',)"
"('which different airlines go from las vegas to new york city',)","('atis_airline',)","('atis_flight',)"
"(""what's the fare for a taxi to denver"",)","('atis_ground_fare',)","('atis_airfare',)"
"('how many canadian airlines international flights use aircraft 320',)","('atis_quantity',)","('atis_capacity',)"
"('at the charlotte airport how many different types of aircraft are there for us air',)","('atis_aircraft',)","('atis_capacity',)"
"('list all flights and their fares from indianapolis to memphis on a monday morning',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('list all flights and their fares from memphis to miami on a wednesday evening',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('list all flights and their fares for all flights between miami and indianapolis',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('list all sunday flights from cleveland to nashville and their fares',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('how long does a flight from baltimore to san francisco take',)","('atis_distance',)","('atis_flight',)"
"('list the airfare for american airlines flight 19 from jfk to lax',)","('atis_airfare#atis_flight',)","('atis_airfare',)"
"('what is the seating capacity for the aircraft m80',)","('atis_capacity',)","('atis_aircraft',)"
"('i need a round trip flight from san diego to washington dc and the fares',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('i need a round trip from atlanta to washington dc and the fares leaving in the morning',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('i need a round trip from phoenix to washington dc and the fare leaving in the morning',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('get saturday fares from washington to boston',)","('atis_airfare',)","('atis_flight',)"
"('get saturday fares from washington to montreal',)","('atis_airfare',)","('atis_flight',)"
"('get saturday fares from washington to toronto',)","('atis_airfare',)","('atis_flight',)"
"('get the saturday fare from washington to toronto',)","('atis_airfare',)","('atis_flight',)"
"('i need flight and airline information for a flight from denver to salt lake city on monday departing after 5 pm',)","('atis_flight#atis_airline',)","('atis_flight',)"
"('i need flight and fare information for thursday departing prior to 9 am from oakland going to salt lake city',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('i need flight and fare information departing from oakland to salt lake city on thursday before 8 am',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('i need flight numbers and airlines for flights departing from oakland to salt lake city on thursday departing before 8 am',)","('atis_flight_no#atis_airline',)","('atis_flight_no',)"
"('list california nevada arizona airports',)","('atis_airport',)","('atis_flight',)"
"('show me the nonstop flights and fares from toronto to st. petersburg',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('list la',)","('atis_city',)","('atis_flight',)"
"('list la',)","('atis_city',)","('atis_flight',)"
"('list flights and fares from tacoma to orlando round trip leaving saturday returning next saturday',)","('atis_flight#atis_airfare',)","('atis_flight',)"
"('list airfares for first class round trip from detroit to st. petersburg',)","('atis_airfare',)","('atis_flight',)"
"('list seating capacities of delta flights from seattle to salt lake city',)","('atis_capacity',)","('atis_flight',)"
"('give me the meal flights departing early saturday morning from chicago to seattle nonstop',)","('atis_flight',)","('atis_meal',)"
"('how many northwest flights leave st. paul',)","('atis_flight',)","('atis_quantity',)"
"('how many northwest flights leave washington dc',)","('atis_flight',)","('atis_quantity',)"
"('how many flights does northwest have leaving dulles',)","('atis_flight',)","('atis_quantity',)"
"('show me the airports serviced by tower air',)","('atis_airport',)","('atis_city',)"
"('are meals ever served on tower air',)","('atis_meal',)","('atis_city',)"
"('are snacks served on tower air',)","('atis_meal',)","('atis_flight',)"
"('what is the seating capacity on the aircraft 733',)","('atis_capacity',)","('atis_aircraft',)"
"('what is the seating capacity of the aircraft 72s',)","('atis_capacity',)","('atis_aircraft',)"
"('what is the seating capacity of the aircraft m80',)","('atis_capacity',)","('atis_aircraft',)"
"('what is the seating capacity of the type of aircraft m80',)","('atis_capacity',)","('atis_aircraft',)"
"('what is seating capacity on the aircraft 73s',)","('atis_capacity',)","('atis_aircraft',)"
"('what is the seating capacity on the aircraft m80',)","('atis_capacity',)","('atis_aircraft',)"
"('how many flights does alaska airlines have to burbank',)","('atis_flight',)","('atis_quantity',)"
47
0.05263157894736842
